,cod_ibge,uf,qnt_produzida
0,1100015,RO,94.5
1,1100023,RO,119.0
2,1100031,RO,17.0
3,1100049,RO,536.5
4,1100056,RO,23.0
5,1100064,RO,45.5
6,1100072,RO,6.0
7,1100080,RO,6.0
8,1100098,RO,142.5
9,1100106,RO,41.5
10,1100114,RO,39.0
11,1100122,RO,53.0
12,1100130,RO,85.5
13,1100148,RO,180.5
14,1100155,RO,16.0
15,1100189,RO,102.0
16,1100205,RO,542.5
17,1100254,RO,247.5
18,1100288,RO,512.5
19,1100296,RO,25.0
20,1100304,RO,70.5
21,1100320,RO,101.5
22,1100338,RO,40.5
23,1100346,RO,32.5
24,1100379,RO,136.0
25,1100403,RO,98.0
26,1100452,RO,65.0
27,1100502,RO,65.0
28,1100601,RO,51.0
29,1100700,RO,39.5
30,1100809,RO,167.5
31,1100908,RO,92.0
32,1100924,RO,11.0
33,1100940,RO,36.0
34,1101005,RO,27.0
35,1101104,RO,61.0
36,1101203,RO,312.5
37,1101302,RO,4.0
38,1101401,RO,45.0
39,1101435,RO,4.0
40,1101450,RO,12.5
41,1101476,RO,26.0
42,1101484,RO,35.0
43,1101500,RO,135.0
44,1101708,RO,2.5
45,1101757,RO,42.0
46,1101807,RO,17.0
47,1200013,AC,753.0
48,1200054,AC,57.5
49,1200104,AC,178.0
50,1200138,AC,622.0
51,1200179,AC,445.0
52,1200203,AC,284.5
53,1200252,AC,180.5
54,1200302,AC,216.5
55,1200328,AC,73.5
56,1200336,AC,101.0
57,1200344,AC,178.5
58,1200351,AC,54.5
59,1200385,AC,1840.0
60,1200393,AC,46.0
61,1200401,AC,618.0
62,1200427,AC,112.5
63,1200435,AC,84.5
64,1200450,AC,744.5
65,1200500,AC,545.5
66,1200609,AC,192.0
67,1200708,AC,104.5
68,1200807,AC,491.0
69,1300086,AM,90.0
70,1300102,AM,10.0
71,1300144,AM,104.5
72,1300201,AM,28.5
73,1300300,AM,318.0
74,1300409,AM,51.0
75,1300508,AM,36.0
76,1300607,AM,271.0
77,1300631,AM,20.0
78,1300680,AM,75.0
79,1300706,AM,11.5
80,1300805,AM,116.0
81,1300839,AM,43.5
82,1301001,AM,48.0
83,1301100,AM,401.0
84,1301159,AM,561.0
85,1301209,AM,105.0
86,1301308,AM,115.0
87,1301407,AM,81.0
88,1301506,AM,68.5
89,1301654,AM,22.0
90,1301704,AM,86.5
91,1301852,AM,1541.5
92,1301902,AM,1841.0
93,1301951,AM,40.5
94,1302009,AM,154.0
95,1302108,AM,18.0
96,1302504,AM,4433.5
97,1302553,AM,834.0
98,1302603,AM,487.5
99,1302702,AM,185.0
100,1302801,AM,13.5
101,1302900,AM,63.5
102,1303007,AM,34.0
103,1303106,AM,126.5
104,1303304,AM,139.0
105,1303403,AM,113.0
106,1303502,AM,44.5
107,1303536,AM,705.5
108,1303569,AM,3900.0
109,1303601,AM,33.0
110,1303809,AM,44.0
111,1303908,AM,21.0
112,1303957,AM,56.0
113,1304005,AM,86.5
114,1304062,AM,20.0
115,1304104,AM,10.0
116,1304203,AM,250.0
117,1304237,AM,17.0
118,1304260,AM,11.0
119,1304302,AM,169.5
120,1304401,AM,114.0
121,1400027,RR,85.0
122,1400050,RR,562.5
123,1400100,RR,1065.0
124,1400159,RR,2118.0
125,1400175,RR,875.0
126,1400209,RR,1712.0
127,1400233,RR,725.0
128,1400282,RR,309.0
129,1400308,RR,252.5
130,1400407,RR,79.0
131,1400456,RR,57.0
132,1400472,RR,9016.0
133,1400506,RR,75.0
134,1400605,RR,440.0
135,1400704,RR,42.0
136,1500107,PA,266.0
137,1500131,PA,19.0
138,1500206,PA,431.0
139,1500404,PA,5513.5
140,1500503,PA,192.5
141,1500602,PA,284.5
142,1500859,PA,372.0
143,1500909,PA,59.0
144,1500958,PA,195.5
145,1501006,PA,144.0
146,1501105,PA,8.5
147,1501303,PA,271.0
148,1501451,PA,67.5
149,1501576,PA,117.0
150,1501600,PA,33.0
151,1501709,PA,75.0
152,1501725,PA,75.0
153,1501758,PA,50.0
154,1501782,PA,40.0
155,1501808,PA,13.5
156,1501907,PA,69.0
157,1501956,PA,21.5
158,1502103,PA,400.5
159,1502152,PA,55.0
160,1502202,PA,166.5
161,1502301,PA,88114.0
162,1502400,PA,750.0
163,1502608,PA,6.0
164,1502756,PA,459.0
165,1502764,PA,36.0
166,1502772,PA,100.0
167,1502806,PA,1.5
168,1502905,PA,45.0
169,1502939,PA,201.0
170,1502954,PA,110.0
171,1503002,PA,22.5
172,1503044,PA,110.0
173,1503077,PA,6792.0
174,1503093,PA,299.0
175,1503101,PA,75.0
176,1503200,PA,2035.0
177,1503309,PA,175.0
178,1503408,PA,455.0
179,1503457,PA,387.0
180,1503507,PA,1872.0
181,1503606,PA,666.0
182,1503705,PA,110.0
183,1503903,PA,30.0
184,1504059,PA,167.5
185,1504109,PA,50.0
186,1504208,PA,196.5
187,1504307,PA,491.5
188,1504406,PA,199.0
189,1504455,PA,328.0
190,1504604,PA,50.0
191,1504703,PA,718.5
192,1504752,PA,190.0
193,1504802,PA,34795.0
194,1504950,PA,697.5
195,1505007,PA,147.0
196,1505031,PA,251.5
197,1505106,PA,230.0
198,1505205,PA,135.0
199,1505304,PA,204.5
200,1505403,PA,5265.0
201,1505486,PA,175.5
202,1505502,PA,64.5
203,1505536,PA,350.0
204,1505650,PA,36.0
205,1505908,PA,143.5
206,1506005,PA,2287.0
207,1506195,PA,144.0
208,1506500,PA,233.5
209,1506559,PA,160.0
210,1506807,PA,1196.5
211,1507003,PA,180.0
212,1507201,PA,350.0
213,1507409,PA,1350.0
214,1507458,PA,400.0
215,1507466,PA,116.0
216,1507508,PA,125.0
217,1507607,PA,305.5
218,1507805,PA,112.5
219,1507953,PA,300.0
220,1507961,PA,150.0
221,1507979,PA,24.5
222,1508001,PA,720.5
223,1508035,PA,111.0
224,1508050,PA,149.0
225,1508126,PA,212.5
226,1508159,PA,180.0
227,1508209,PA,175.0
228,1508308,PA,180.0
229,1508357,PA,1321.0
230,1600055,AP,73.5
231,1600105,AP,59.0
232,1600154,AP,102.0
233,1600204,AP,120.5
234,1600238,AP,54.0
235,1600279,AP,227.0
236,1600303,AP,287.0
237,1600402,AP,173.5
238,1600501,AP,107.5
239,1600535,AP,391.5
240,1600550,AP,60.0
241,1600600,AP,68.0
242,1600709,AP,234.5
243,1600808,AP,141.0
244,1700251,TO,57.5
245,1701002,TO,20.0
246,1702109,TO,9.5
247,1702208,TO,8.0
248,1702901,TO,15.0
249,1703206,TO,25.0
250,1703800,TO,4.5
251,1703909,TO,20.0
252,1706001,TO,37.5
253,1707009,TO,96.0
254,1707207,TO,6.0
255,1707405,TO,9.0
256,1708254,TO,35.0
257,1710706,TO,9.0
258,1712801,TO,3.0
259,1713304,TO,50.0
260,1713809,TO,54.0
261,1714302,TO,32.5
262,1714880,TO,65.5
263,1716653,TO,18.5
264,1718303,TO,5.0
265,1718758,TO,10.0
266,1718808,TO,2.5
267,1720309,TO,5.0
268,1720804,TO,45.0
269,1721208,TO,260.0
270,1722107,TO,20.0
271,2100105,MA,2.0
272,2100204,MA,10.5
273,2100907,MA,3.5
274,2101103,MA,6.0
275,2101251,MA,6.0
276,2101350,MA,6.0
277,2101707,MA,15.0
278,2101806,MA,3.0
279,2101905,MA,15.5
280,2102309,MA,1.5
281,2102358,MA,9.5
282,2102556,MA,3.0
283,2102705,MA,2.5
284,2103257,MA,7.5
285,2103307,MA,2.5
286,2103406,MA,1.5
287,2103703,MA,5.0
288,2103901,MA,1.0
289,2104677,MA,6.5
290,2104800,MA,9.0
291,2105401,MA,3.0
292,2105989,MA,16.5
293,2106607,MA,1.5
294,2106755,MA,3.0
295,2107209,MA,3.0
296,2107605,MA,23.5
297,2107803,MA,1.5
298,2108009,MA,8.5
299,2108058,MA,2.0
300,2108207,MA,2.5
301,2108405,MA,16.0
302,2108454,MA,2.5
303,2108603,MA,36.5
304,2109007,MA,6.5
305,2109205,MA,6.5
306,2109270,MA,20.0
307,2109304,MA,3.0
308,2109601,MA,9.0
309,2110203,MA,6.0
310,2110237,MA,1.5
311,2110500,MA,10.5
312,2110856,MA,2.0
313,2111904,MA,5.0
314,2111953,MA,3.0
315,2112209,MA,2.0
316,2112704,MA,3.0
317,2200400,PI,20.0
318,2200459,PI,14.0
319,2200509,PI,90.0
320,2200806,PI,35.0
321,2201150,PI,31.5
322,2201200,PI,88.0
323,2201408,PI,37.0
324,2201507,PI,9.0
325,2201919,PI,12.5
326,2201960,PI,57.5
327,2202703,PI,25.0
328,2203701,PI,53.5
329,2203909,PI,9.0
330,2204709,PI,60.0
331,2205508,PI,142.5
332,2205607,PI,9.0
333,2206209,PI,18.0
334,2208908,PI,14.5
335,2210201,PI,14.5
336,2211001,PI,240.0
337,2211100,PI,75.0
338,2211308,PI,5.0
339,2300101,CE,61.0
340,2300150,CE,3.0
341,2300200,CE,7.5
342,2300507,CE,12.5
343,2300705,CE,91.0
344,2300903,CE,27.5
345,2301208,CE,41.0
346,2301307,CE,18.0
347,2301406,CE,113.0
348,2301703,CE,39.5
349,2301901,CE,383.5
350,2302008,CE,15.0
351,2302206,CE,48.5
352,2302305,CE,280.5
353,2302404,CE,12.5
354,2302503,CE,160.0
355,2302602,CE,14.5
356,2302800,CE,4.0
357,2303006,CE,6.5
358,2303105,CE,38.0
359,2303204,CE,141.0
360,2303402,CE,897.0
361,2303501,CE,206.5
362,2303600,CE,41.0
363,2303931,CE,12.5
364,2304202,CE,106.0
365,2304236,CE,4743.5
366,2304301,CE,34.5
367,2304350,CE,4.0
368,2304509,CE,263.5
369,2304608,CE,26.5
370,2304657,CE,18.0
371,2304707,CE,9.0
372,2304806,CE,9.0
373,2304954,CE,243.0
374,2305001,CE,12272.5
375,2305100,CE,8.5
376,2305209,CE,7.5
377,2305308,CE,10156.5
378,2305357,CE,780.5
379,2305407,CE,5.0
380,2305506,CE,29.0
381,2305803,CE,6230.0
382,2305902,CE,1004.5
383,2306108,CE,3.5
384,2306207,CE,24.5
385,2306603,CE,3.0
386,2307007,CE,1073.5
387,2307106,CE,118.0
388,2307205,CE,532.5
389,2307304,CE,103.0
390,2307502,CE,66.0
391,2307601,CE,1233.0
392,2307650,CE,29.5
393,2307700,CE,200.5
394,2307809,CE,42.0
395,2307908,CE,5.0
396,2308005,CE,27.5
397,2308104,CE,336.5
398,2308203,CE,68.5
399,2308302,CE,55.0
400,2308351,CE,7.5
401,2308401,CE,170.5
402,2308500,CE,17.5
403,2309003,CE,12.5
404,2309102,CE,75.5
405,2309201,CE,50.0
406,2309706,CE,46.0
407,2309805,CE,47.5
408,2309904,CE,4.0
409,2310100,CE,65.0
410,2310407,CE,2.5
411,2310506,CE,5.0
412,2310605,CE,874.5
413,2310704,CE,34.0
414,2310803,CE,58.0
415,2310951,CE,102.5
416,2311108,CE,300.5
417,2311355,CE,3.0
418,2311405,CE,162.0
419,2311504,CE,199.0
420,2311603,CE,53.0
421,2311702,CE,181.5
422,2311801,CE,524.5
423,2312106,CE,163.0
424,2312205,CE,25.5
425,2312304,CE,6533.5
426,2312502,CE,375.0
427,2312700,CE,1.0
428,2312809,CE,9.0
429,2312908,CE,50.0
430,2313104,CE,652.5
431,2313401,CE,15720.5
432,2313609,CE,13500.5
433,2313807,CE,6.0
434,2313955,CE,63.0
435,2314102,CE,21947.5
436,2400109,RN,35.0
437,2400208,RN,9.0
438,2401008,RN,24.0
439,2401503,RN,6.0
440,2401651,RN,132.0
441,2401701,RN,6.0
442,2401800,RN,17.5
443,2402006,RN,4.0
444,2402105,RN,1.5
445,2402402,RN,8.0
446,2402709,RN,5255.0
447,2402808,RN,925.0
448,2402907,RN,8.0
449,2403103,RN,27.0
450,2403251,RN,25.0
451,2403400,RN,4.0
452,2403806,RN,8.5
453,2404200,RN,50.0
454,2404804,RN,4.0
455,2405009,RN,764.0
456,2405306,RN,12.0
457,2405603,RN,2.0
458,2405702,RN,6.0
459,2406155,RN,30.0
460,2406205,RN,12.0
461,2406304,RN,16.0
462,2406403,RN,12.0
463,2406502,RN,752.0
464,2407302,RN,6.0
465,2407906,RN,24.0
466,2408003,RN,19.0
467,2408201,RN,60.0
468,2408508,RN,4.5
469,2408805,RN,9.0
470,2408904,RN,18.5
471,2409100,RN,6.0
472,2409332,RN,6.0
473,2410306,RN,6.0
474,2410405,RN,26.0
475,2410603,RN,15.0
476,2410801,RN,4.0
477,2410900,RN,6.0
478,2411106,RN,6.0
479,2411205,RN,10.0
480,2412203,RN,253.5
481,2412302,RN,6.0
482,2412500,RN,12.0
483,2412609,RN,6.0
484,2412906,RN,13.0
485,2413003,RN,13.5
486,2413102,RN,9.5
487,2413300,RN,56.0
488,2413409,RN,2.0
489,2413706,RN,11.5
490,2414001,RN,2.0
491,2414159,RN,24.0
492,2414308,RN,2.0
493,2414902,RN,2.5
494,2500106,PB,15.0
495,2500403,PB,3170.0
496,2500502,PB,37.0
497,2500601,PB,302.0
498,2500809,PB,68.5
499,2501005,PB,1350.0
500,2501104,PB,44.0
501,2501302,PB,18.0
502,2501401,PB,65.5
503,2501500,PB,40.5
504,2501575,PB,12.0
505,2501708,PB,100.0
506,2501906,PB,24.0
507,2502508,PB,212.5
508,2502706,PB,17.5
509,2503001,PB,80.0
510,2503100,PB,60.0
511,2503506,PB,405.0
512,2504009,PB,15.0
513,2504033,PB,17.0
514,2504603,PB,232.5
515,2504702,PB,30.0
516,2504900,PB,120.5
517,2505105,PB,200.0
518,2505204,PB,40.0
519,2505238,PB,29.5
520,2505279,PB,40.0
521,2505808,PB,17.5
522,2506004,PB,430.5
523,2506103,PB,25.0
524,2506301,PB,17.5
525,2506400,PB,4.0
526,2507101,PB,36.0
527,2507309,PB,81.0
528,2507507,PB,10.0
529,2508000,PB,112.5
530,2508208,PB,17.5
531,2508307,PB,1164.0
532,2508604,PB,70.0
533,2508901,PB,116.5
534,2509057,PB,100.5
535,2509107,PB,18.5
536,2509206,PB,48.0
537,2509305,PB,52.5
538,2509339,PB,2300.0
539,2509701,PB,42.0
540,2509800,PB,12.0
541,2509909,PB,37.5
542,2510105,PB,415.0
543,2510600,PB,18.0
544,2510709,PB,4.0
545,2511202,PB,234.0
546,2511400,PB,300.0
547,2511509,PB,8.0
548,2511608,PB,66.0
549,2511707,PB,23.5
550,2511806,PB,62.5
551,2511905,PB,265.0
552,2512200,PB,18.0
553,2512408,PB,38.0
554,2512606,PB,4.0
555,2512705,PB,105.0
556,2512721,PB,20.0
557,2512762,PB,17.0
558,2512903,PB,62.5
559,2513703,PB,70.0
560,2513851,PB,6.0
561,2513943,PB,16.0
562,2514453,PB,10.0
563,2514552,PB,4.0
564,2515104,PB,605.0
565,2515302,PB,82.5
566,2515609,PB,15.0
567,2515807,PB,38.5
568,2515906,PB,94.5
569,2515930,PB,9.0
570,2515971,PB,9.0
571,2516003,PB,41.5
572,2516300,PB,48.0
573,2516409,PB,45.0
574,2516607,PB,4.0
575,2517001,PB,17.5
576,2600054,PE,97.5
577,2600104,PE,10.0
578,2600401,PE,46.5
579,2600500,PE,7.5
580,2600708,PE,40.0
581,2600906,PE,590.0
582,2601003,PE,40.0
583,2601300,PE,1200.0
584,2601409,PE,40.5
585,2601607,PE,2610.0
586,2601706,PE,104.0
587,2601805,PE,10.5
588,2601904,PE,10.5
589,2602100,PE,5.0
590,2602209,PE,700.0
591,2602308,PE,787.5
592,2602407,PE,82.5
593,2602605,PE,29.0
594,2602902,PE,25.0
595,2603009,PE,480.0
596,2603306,PE,150.0
597,2603405,PE,15.0
598,2603603,PE,12.5
599,2603900,PE,61.5
600,2604205,PE,27.5
601,2604304,PE,285.0
602,2604601,PE,4.0
603,2604700,PE,240.0
604,2605301,PE,35.0
605,2605400,PE,60.0
606,2605905,PE,74.0
607,2606002,PE,81.5
608,2606101,PE,285.0
609,2606200,PE,38.0
610,2606903,PE,11.0
611,2607109,PE,11.0
612,2607208,PE,225.0
613,2607307,PE,10.0
614,2607406,PE,150.0
615,2607802,PE,48.5
616,2607901,PE,188.0
617,2608057,PE,11.0
618,2608107,PE,15.0
619,2608305,PE,16.0
620,2608453,PE,151.0
621,2608503,PE,600.0
622,2608602,PE,17.5
623,2608701,PE,670.0
624,2608750,PE,110.0
625,2608909,PE,103.0
626,2609006,PE,125.0
627,2609105,PE,309.0
628,2609204,PE,23.0
629,2609303,PE,45.0
630,2609402,PE,118.0
631,2609501,PE,43.0
632,2609709,PE,30.0
633,2609808,PE,910.0
634,2610004,PE,24.0
635,2610103,PE,10.5
636,2610202,PE,37.5
637,2610400,PE,90.0
638,2610509,PE,10.0
639,2610608,PE,49.5
640,2611002,PE,301.5
641,2611101,PE,1400.0
642,2611804,PE,480.0
643,2612000,PE,4800.0
644,2612208,PE,1147.5
645,2612307,PE,45.0
646,2612604,PE,595.0
647,2612802,PE,24.0
648,2613206,PE,25.0
649,2613503,PE,152.5
650,2613602,PE,37.5
651,2613701,PE,160.0
652,2613800,PE,100.0
653,2613909,PE,6.0
654,2614006,PE,75.0
655,2614303,PE,25.0
656,2614600,PE,39.0
657,2614709,PE,75.0
658,2614808,PE,28.5
659,2615003,PE,30.0
660,2615201,PE,97.5
661,2615300,PE,3.5
662,2615508,PE,40.0
663,2615706,PE,44.0
664,2615805,PE,120.0
665,2615904,PE,19.5
666,2616100,PE,37.5
667,2616308,PE,42.5
668,2616407,PE,250.0
669,2616506,PE,150.5
670,2700102,AL,25.5
671,2700201,AL,276.0
672,2700300,AL,127.0
673,2700409,AL,235.5
674,2700508,AL,22.5
675,2700805,AL,45.5
676,2700904,AL,14.0
677,2701001,AL,422.0
678,2701100,AL,15940.0
679,2701308,AL,357.5
680,2701357,AL,61.0
681,2701407,AL,91.0
682,2701605,AL,10.0
683,2701704,AL,1196.5
684,2701902,AL,1378.0
685,2702108,AL,232.5
686,2702207,AL,47.5
687,2702306,AL,2297.0
688,2702405,AL,26.0
689,2702553,AL,18.0
690,2702603,AL,37.5
691,2702702,AL,34.5
692,2702801,AL,525.5
693,2702900,AL,27.5
694,2703007,AL,80.0
695,2703106,AL,22.5
696,2703205,AL,239.0
697,2703304,AL,24.5
698,2703502,AL,1599.0
699,2703601,AL,152.5
700,2703759,AL,110.0
701,2703809,AL,2895.0
702,2703908,AL,70.0
703,2704005,AL,110.0
704,2704203,AL,223.0
705,2704500,AL,810.0
706,2704708,AL,60.0
707,2704807,AL,285.5
708,2704906,AL,54.0
709,2705002,AL,115.0
710,2705101,AL,246.0
711,2705200,AL,117.5
712,2705507,AL,2272.5
713,2705606,AL,549.5
714,2705705,AL,25.0
715,2705903,AL,14.0
716,2706000,AL,5.0
717,2706109,AL,3.0
718,2706307,AL,96.5
719,2706406,AL,5.0
720,2706422,AL,37.5
721,2706448,AL,10.5
722,2706505,AL,56.5
723,2706703,AL,915.0
724,2706802,AL,50.5
725,2706901,AL,30.0
726,2707008,AL,6.0
727,2707305,AL,855.0
728,2707404,AL,157.0
729,2707503,AL,17.5
730,2707602,AL,102.5
731,2707701,AL,10.0
732,2708105,AL,38060.0
733,2708204,AL,50.0
734,2708303,AL,1272.5
735,2708402,AL,50.0
736,2708501,AL,362.5
737,2708600,AL,13.0
738,2708709,AL,56.5
739,2708808,AL,187.5
740,2709004,AL,93.0
741,2709103,AL,86.5
742,2709152,AL,551.5
743,2709301,AL,5251.0
744,2709400,AL,498.0
745,2800209,SE,5.0
746,2800407,SE,17142.0
747,2800670,SE,11917.5
748,2801306,SE,65.0
749,2801702,SE,27394.5
750,2802106,SE,5724.5
751,2802809,SE,16512.5
752,2803005,SE,25238.0
753,2803203,SE,6520.5
754,2803302,SE,64.0
755,2803401,SE,5714.5
756,2803500,SE,20936.5
757,2804300,SE,9.0
758,2804409,SE,1631.0
759,2804607,SE,15.0
760,2804904,SE,29.0
761,2805109,SE,4881.0
762,2805406,SE,45.0
763,2805703,SE,10.0
764,2805802,SE,5450.0
765,2805901,SE,29.0
766,2806206,SE,15219.5
767,2806305,SE,10688.5
768,2806404,SE,1108.0
769,2806503,SE,15.0
770,2806800,SE,284.5
771,2807105,SE,102.0
772,2807204,SE,10.0
773,2807402,SE,16.0
774,2807501,SE,13834.0
775,2807600,SE,22112.0
776,2900108,BA,93.0
777,2900207,BA,65.5
778,2900306,BA,3616.0
779,2900405,BA,2.5
780,2900504,BA,389.5
781,2900603,BA,3.5
782,2900702,BA,9076.5
783,2900801,BA,429.0
784,2900900,BA,32.5
785,2901007,BA,273.0
786,2901106,BA,18.0
787,2901205,BA,85.5
788,2901908,BA,2379.0
789,2901957,BA,28.5
790,2902005,BA,200.0
791,2902054,BA,452.5
792,2902104,BA,51.0
793,2902203,BA,645.0
794,2902302,BA,141.5
795,2902500,BA,154.5
796,2902708,BA,110.0
797,2902807,BA,10250.0
798,2902906,BA,683.5
799,2903102,BA,12.0
800,2903201,BA,5319.0
801,2903235,BA,14.0
802,2903276,BA,2.5
803,2903409,BA,15.5
804,2903508,BA,433.5
805,2903706,BA,109.0
806,2903904,BA,2366.0
807,2904001,BA,147.0
808,2904050,BA,605.0
809,2904308,BA,621.5
810,2904605,BA,2950.0
811,2904803,BA,2.5
812,2904852,BA,1170.5
813,2904902,BA,119.5
814,2905008,BA,359.5
815,2905156,BA,224.5
816,2905206,BA,297.0
817,2905602,BA,20.0
818,2905701,BA,345.5
819,2905800,BA,3.5
820,2906006,BA,299.5
821,2906204,BA,18.5
822,2906303,BA,62.0
823,2906501,BA,2.0
824,2906709,BA,7.0
825,2906907,BA,579.5
826,2907004,BA,262.0
827,2907103,BA,1751.0
828,2907202,BA,772.5
829,2907301,BA,686.0
830,2907509,BA,42.5
831,2907558,BA,81.0
832,2907806,BA,15.0
833,2908200,BA,136.0
834,2908309,BA,1185.5
835,2908408,BA,123.5
836,2908606,BA,1734.0
837,2908705,BA,62.5
838,2908804,BA,951.0
